Tag Counts:
Tag,Count
Untagged,4763
database,28
monitoring,25
sv_P5,23
email,21
sv_P2,21
sv_P1,20
SV_P3,19
sv_P4,18
web,18

Port/Protocol Combination Counts:
Port,Protocol,Count
30798,udp,1
39387,udp,1
31692,icmp,1
10152,tcp,1
58460,udp,1
6218,tcp,1
63930,tcp,1
31865,icmp,1
7515,icmp,1
58692,icmp,1
58100,icmp,1
7573,icmp,1
31691,icmp,1
64026,icmp,1
13533,udp,1
7757,icmp,1
36025,icmp,1
65500,icmp,1
33259,udp,1
47802,udp,1
33687,icmp,1
44584,tcp,1
2436,tcp,1
11327,tcp,1
18970,icmp,1
21492,udp,2
36605,icmp,1
56502,icmp,1
30017,udp,1
17078,tcp,1
7631,udp,1
57337,tcp,1
42501,icmp,1
34294,icmp,1
4091,udp,1
53218,icmp,1
64390,udp,1
33556,tcp,1
51250,icmp,1
14403,udp,1
10962,udp,1
35572,icmp,1
35190,udp,1
21432,udp,1
25811,icmp,1
15800,icmp,1
3767,udp,1
34029,udp,1
37544,icmp,1
14088,icmp,1
65381,icmp,1
47102,tcp,1
64465,icmp,1
60962,tcp,1
47698,tcp,1
39983,icmp,2
46416,icmp,1
38012,tcp,1
45448,udp,1
20665,icmp,1
23251,tcp,1
43864,udp,1
19718,tcp,1
13478,tcp,1
24741,tcp,1
50810,icmp,1
13421,icmp,1
53513,tcp,1
44237,udp,1
19584,tcp,1
12754,udp,1
1467,tcp,1
25060,tcp,1
13697,tcp,1
44526,icmp,1
40700,tcp,1
24230,tcp,1
59032,udp,1
38777,icmp,1
30182,udp,1
49618,tcp,1
22395,udp,1
51319,icmp,1
51491,udp,1
48973,tcp,1
30397,icmp,1
18950,tcp,1
10667,icmp,1
30075,icmp,1
63293,tcp,1
30235,udp,1
24299,tcp,1
56465,tcp,1
23184,udp,1
39805,icmp,1
52617,udp,1
64108,udp,1
12022,icmp,1
33542,tcp,1
45926,tcp,1
59511,icmp,1
49389,udp,1
14366,tcp,1
20392,udp,1
29067,udp,1
32927,udp,1
42689,tcp,1
56133,udp,1
50905,udp,1
48986,icmp,1
30166,tcp,1
3902,udp,1
7937,icmp,1
32185,icmp,1
48160,icmp,1
10442,tcp,1
57676,icmp,1
27592,udp,1
62573,tcp,1
28345,tcp,1
22755,udp,1
56944,udp,1
4024,tcp,1
27449,udp,1
9199,udp,1
51934,udp,1
25478,icmp,1
36989,udp,1
24419,tcp,1
55670,icmp,1
64077,tcp,1
49249,udp,1
16542,udp,1
60984,icmp,1
40141,udp,1
46361,icmp,1
45764,icmp,1
40888,icmp,1
7839,icmp,1
52683,icmp,1
1820,udp,1
10821,icmp,1
38245,icmp,1
38009,icmp,1
37381,tcp,1
46217,tcp,1
20651,icmp,1
48326,icmp,1
17617,icmp,1
6886,tcp,1
2221,tcp,1
53661,udp,1
54702,icmp,1
34475,icmp,1
59951,tcp,1
2971,tcp,1
47608,tcp,1
8887,icmp,1
33239,tcp,1
53479,icmp,1
21926,tcp,1
35321,tcp,1
45553,icmp,1
64170,icmp,1
27240,udp,1
62725,tcp,1
42349,tcp,1
16288,udp,1
9343,tcp,1
31437,udp,1
59745,tcp,1
9067,tcp,1
17004,udp,1
61227,tcp,1
61868,icmp,1
5462,icmp,1
49468,tcp,1
45818,icmp,1
34731,tcp,1
13117,udp,1
55619,icmp,1
52428,tcp,1
3509,tcp,1
25142,udp,1
57244,tcp,1
42015,icmp,1
9255,udp,1
58144,tcp,1
6121,udp,1
36994,icmp,1
13057,udp,1
17267,tcp,1
55015,tcp,1
60744,udp,1
34604,tcp,1
60111,tcp,1
13119,icmp,1
64731,tcp,1
58044,icmp,2
9536,tcp,1
11229,tcp,1
13167,udp,1
60949,tcp,1
22432,tcp,1
57124,tcp,1
26019,tcp,1
24496,icmp,1
40676,udp,1
40769,tcp,1
44590,udp,1
48841,udp,1
60052,udp,1
62641,tcp,1
40097,tcp,1
52593,tcp,1
62349,udp,1
11549,udp,1
19415,tcp,1
8260,tcp,1
39460,udp,1
23770,tcp,1
36111,icmp,1
42526,udp,1
15889,icmp,1
43621,tcp,1
61525,tcp,1
50885,icmp,1
52065,udp,1
32278,udp,1
41892,icmp,1
32492,icmp,1
2419,tcp,1
13888,icmp,1
26837,udp,1
14648,icmp,1
5776,tcp,1
5560,tcp,1
29169,icmp,1
15960,tcp,1
51375,udp,1
20939,udp,1
51896,udp,1
44939,udp,1
20640,icmp,1
29853,tcp,1
3241,icmp,1
56088,icmp,1
59904,tcp,1
51362,tcp,1
15321,icmp,1
52371,icmp,1
51274,icmp,1
25062,tcp,1
40923,icmp,1
17369,udp,1
63516,tcp,1
50633,tcp,1
47210,udp,1
35192,tcp,1
39630,udp,1
19798,tcp,1
30678,icmp,1
19976,icmp,1
49613,udp,1
42772,icmp,2
24258,tcp,1
10666,udp,1
52474,icmp,1
9554,tcp,1
58285,udp,1
41844,tcp,1
7013,icmp,1
45879,icmp,1
23117,udp,1
37834,udp,1
45217,tcp,1
47298,tcp,2
40399,udp,1
22361,udp,1
19221,udp,1
18409,tcp,1
19962,icmp,1
61807,icmp,1
19168,icmp,1
8073,tcp,1
51675,icmp,1
56863,udp,1
61063,udp,1
7694,icmp,1
2099,icmp,1
14606,icmp,1
25960,icmp,1
17154,tcp,1
5717,icmp,1
52319,icmp,1
43134,icmp,1
26134,icmp,1
5241,tcp,1
2036,udp,1
33434,tcp,1
37857,udp,1
33136,udp,1
12868,tcp,1
2318,udp,1
23977,tcp,1
17724,udp,1
40159,udp,1
18965,tcp,1
41899,icmp,1
25322,icmp,1
24974,icmp,1
23764,tcp,1
29345,icmp,1
63074,tcp,1
52115,icmp,1
10142,tcp,1
10304,icmp,1
26348,icmp,1
20128,icmp,1
20353,tcp,1
35545,udp,1
18195,icmp,1
62415,udp,1
27002,tcp,1
65037,tcp,1
11360,icmp,2
57178,udp,1
60335,udp,1
22368,udp,1
1618,udp,1
57319,tcp,1
9021,tcp,1
10654,tcp,1
50170,icmp,2
39824,udp,1
26711,tcp,1
4880,udp,1
24710,tcp,1
11546,icmp,1
11226,icmp,1
53405,tcp,1
8734,icmp,1
36891,udp,1
50690,udp,1
18376,icmp,1
19565,icmp,1
48817,tcp,1
26306,udp,1
49210,udp,1
20505,icmp,1
19032,udp,1
43021,icmp,1
34249,tcp,1
6235,tcp,1
61345,icmp,1
5867,icmp,1
61600,udp,1
19316,tcp,1
13174,udp,1
21504,icmp,1
18478,udp,1
61626,tcp,1
10648,udp,1
1240,udp,1
6835,udp,1
62705,icmp,1
60245,icmp,1
14655,udp,1
29278,icmp,1
37563,tcp,1
9254,icmp,1
54447,icmp,1
5448,udp,1
55073,udp,1
42617,udp,1
16855,udp,2
49846,tcp,1
47742,icmp,1
29445,udp,2
57533,udp,1
10814,tcp,1
1847,icmp,1
52223,tcp,1
16780,udp,1
24199,icmp,1
13617,udp,1
7320,icmp,1
33441,tcp,1
19245,udp,1
65400,udp,1
7335,icmp,1
19658,udp,1
62096,udp,1
41014,tcp,2
47801,udp,1
32625,icmp,1
52628,udp,1
31852,udp,1
48202,udp,1
33340,icmp,1
27456,udp,1
52201,icmp,1
10901,icmp,1
19395,udp,1
42854,icmp,1
10496,tcp,1
10618,icmp,1
58009,icmp,1
30620,icmp,1
27828,tcp,1
11309,tcp,1
24326,udp,1
32949,tcp,1
55435,tcp,1
13968,icmp,1
41174,tcp,1
30204,icmp,1
36408,udp,1
49386,icmp,2
46014,udp,1
59402,udp,1
47077,icmp,1
57999,udp,1
57050,udp,1
60959,udp,1
21243,icmp,1
6372,icmp,1
2483,icmp,1
62977,icmp,1
47824,tcp,1
3056,tcp,1
35208,icmp,1
31520,udp,1
58165,icmp,1
36022,icmp,1
33132,tcp,1
39626,tcp,1
43197,tcp,1
18398,icmp,1
29780,tcp,1
13556,udp,1
46791,udp,1
40592,tcp,1
61604,udp,1
50907,udp,1
53100,tcp,1
3690,icmp,1
57664,tcp,1
16592,udp,1
13964,udp,1
15093,tcp,1
7630,icmp,1
58902,udp,1
45072,tcp,1
28628,icmp,1
54884,udp,1
51557,icmp,1
3814,udp,1
41083,tcp,1
46414,tcp,2
24118,icmp,1
52125,icmp,1
36686,tcp,1
36284,tcp,1
22536,icmp,1
8036,tcp,1
24849,udp,1
13910,icmp,1
5448,icmp,1
39349,icmp,1
12298,icmp,1
31123,icmp,1
61340,icmp,1
44418,icmp,1
15802,tcp,1
7707,icmp,1
58107,tcp,1
7150,tcp,1
46459,tcp,1
27570,udp,1
50313,icmp,1
28573,tcp,1
63465,tcp,1
44208,tcp,1
8394,icmp,1
30014,udp,1
3583,icmp,1
46137,tcp,1
11430,tcp,1
12649,icmp,1
58315,icmp,1
28270,tcp,1
9916,icmp,1
55801,udp,1
30108,tcp,1
23648,icmp,1
8518,udp,1
22402,udp,1
27442,tcp,1
5564,tcp,1
40247,icmp,1
9734,udp,1
49420,icmp,1
34077,udp,1
19610,icmp,1
36145,icmp,1
30574,tcp,1
13882,udp,1
33947,tcp,1
63986,udp,1
20033,tcp,1
32502,udp,1
13429,tcp,1
6962,udp,1
44808,udp,1
62110,icmp,1
2584,udp,1
44971,icmp,1
16726,udp,1
37870,icmp,1
7982,icmp,1
12202,icmp,1
37625,icmp,1
27584,udp,1
43773,udp,1
60368,tcp,1
9020,icmp,1
37248,icmp,1
47359,tcp,1
49919,icmp,1
43366,icmp,1
6758,udp,1
24837,icmp,1
6998,tcp,1
50307,tcp,1
42229,icmp,1
32521,tcp,1
14631,tcp,1
41622,udp,1
19054,icmp,1
17092,icmp,1
62862,icmp,1
53144,tcp,1
25674,udp,1
38762,tcp,1
25545,tcp,1
55171,tcp,1
26893,tcp,1
29437,tcp,1
44958,tcp,1
28108,icmp,1
50026,udp,1
63088,icmp,1
43491,tcp,1
15582,tcp,1
16530,icmp,1
26009,udp,1
49586,udp,1
49822,icmp,1
39982,tcp,1
7484,udp,1
50095,udp,1
19166,tcp,1
27105,tcp,1
56961,icmp,1
63475,udp,1
61357,tcp,1
12548,icmp,1
36112,tcp,1
4721,udp,1
26307,tcp,1
32871,udp,1
59818,udp,1
31619,tcp,1
38310,icmp,1
42597,udp,1
56789,udp,1
51406,icmp,1
26456,icmp,1
60282,icmp,1
30177,tcp,1
46142,udp,1
33132,icmp,1
50803,udp,1
62676,udp,1
1362,udp,1
23212,udp,1
3478,icmp,1
26709,icmp,1
20237,icmp,1
20320,icmp,1
19309,icmp,1
23981,udp,1
39442,tcp,1
43727,udp,1
39004,udp,1
8839,udp,1
18367,udp,1
31425,udp,1
19896,udp,1
58374,udp,1
21750,icmp,1
59506,tcp,1
30434,tcp,1
23194,udp,1
14606,tcp,1
9058,udp,1
45527,tcp,1
38747,icmp,1
41664,tcp,1
37751,udp,1
64506,icmp,1
63021,udp,1
45940,udp,1
49514,tcp,1
60873,tcp,1
36930,udp,1
1840,icmp,1
27248,udp,1
5622,tcp,1
3030,udp,1
1909,tcp,1
4265,tcp,1
36244,icmp,1
16898,tcp,1
24297,tcp,1
58192,udp,1
55475,icmp,1
64062,udp,1
2547,icmp,1
48793,icmp,1
59121,icmp,1
55520,udp,2
53242,tcp,1
55805,udp,1
29294,icmp,1
9547,udp,1
31199,icmp,1
29484,udp,1
56085,udp,1
24123,udp,1
33192,tcp,1
58087,tcp,1
15006,tcp,1
60129,udp,1
55682,tcp,1
17583,icmp,1
42838,tcp,1
12031,tcp,1
25919,udp,1
61703,udp,1
40947,tcp,1
55089,icmp,1
27713,tcp,1
64784,tcp,1
23055,tcp,1
35853,icmp,1
62603,icmp,1
28713,udp,1
53938,tcp,1
36254,udp,1
61676,icmp,1
41297,tcp,1
7869,udp,1
25892,icmp,1
10580,tcp,1
32210,udp,1
63620,udp,1
29220,tcp,1
61790,icmp,1
26935,icmp,1
36578,icmp,1
65525,udp,1
17288,icmp,1
30201,tcp,1
53512,icmp,1
55363,icmp,1
14556,udp,1
28525,icmp,1
25988,icmp,1
52286,icmp,1
52952,icmp,1
60498,udp,1
26552,tcp,1
2373,udp,1
62439,icmp,1
29923,icmp,2
42495,udp,1
30632,udp,1
53098,udp,1
12395,udp,1
4047,icmp,1
49562,udp,1
56065,udp,1
53511,udp,1
38482,udp,1
33979,icmp,1
1522,tcp,1
2381,tcp,1
18291,icmp,1
21341,icmp,1
64459,icmp,1
5862,tcp,1
46761,icmp,1
39975,udp,1
5721,udp,1
50151,udp,1
43285,icmp,1
59261,udp,1
10541,icmp,1
48221,udp,2
59198,tcp,1
60942,tcp,2
15063,tcp,1
48695,tcp,1
24642,udp,1
20835,udp,1
36627,udp,1
46828,tcp,1
19305,tcp,1
7758,tcp,1
4239,tcp,1
15128,icmp,1
27049,udp,1
20251,udp,1
17238,udp,1
39441,icmp,1
10001,tcp,1
60916,tcp,1
16690,udp,1
23705,icmp,1
15832,icmp,1
63937,icmp,1
55507,icmp,1
31285,tcp,1
58976,udp,1
20414,icmp,1
44910,tcp,1
7196,tcp,1
29196,tcp,1
46799,icmp,1
51081,udp,1
24851,udp,1
51123,udp,1
29905,udp,1
23095,udp,1
17188,tcp,1
54632,udp,1
50152,tcp,1
41642,icmp,1
14263,udp,1
23556,tcp,1
32103,icmp,1
39722,tcp,1
33398,tcp,1
56030,udp,1
56693,udp,1
62767,udp,1
50938,udp,1
30271,udp,1
30405,tcp,1
42055,udp,1
11665,icmp,1
40364,tcp,1
7873,tcp,1
52468,tcp,1
12970,udp,1
23550,icmp,1
35854,icmp,1
19409,tcp,1
5625,tcp,1
10924,udp,1
6167,icmp,1
36308,udp,1
35674,icmp,1
2667,udp,1
13202,udp,1
32876,tcp,1
9806,tcp,1
61479,tcp,2
59107,icmp,1
40183,tcp,1
62935,tcp,1
17757,udp,1
25318,tcp,1
54842,udp,1
17832,icmp,1
21556,icmp,1
7549,udp,1
12341,icmp,1
2168,tcp,1
19341,tcp,1
22369,udp,1
1158,tcp,1
38142,udp,1
21943,tcp,1
12681,udp,1
43067,tcp,1
59609,udp,1
54364,icmp,1
36150,udp,1
31857,tcp,1
38797,icmp,1
5996,udp,1
32242,udp,1
61742,tcp,1
2587,icmp,1
42176,tcp,1
54848,udp,1
64440,udp,1
14001,tcp,1
10615,tcp,1
25042,udp,1
48520,icmp,1
7005,tcp,1
62018,tcp,1
64385,udp,1
23429,udp,1
25167,icmp,1
8245,tcp,1
4852,udp,1
33136,tcp,2
5737,tcp,1
41588,icmp,1
26615,udp,1
46731,icmp,1
15357,icmp,1
25643,tcp,1
35721,icmp,1
31780,icmp,1
59469,udp,1
10669,icmp,1
43212,udp,1
36295,udp,1
41575,tcp,1
63494,icmp,1
20882,tcp,1
49788,tcp,1
59440,icmp,1
42706,udp,1
23394,udp,1
10755,tcp,1
28333,udp,1
17394,udp,1
22363,icmp,1
20043,icmp,1
2077,tcp,1
35418,icmp,1
17411,udp,1
14158,icmp,1
45811,icmp,1
13948,icmp,1
17939,tcp,1
30544,udp,1
64020,icmp,1
42041,icmp,1
14892,icmp,1
12639,udp,1
27050,tcp,1
52340,tcp,1
37712,icmp,1
26034,udp,1
39332,tcp,1
52767,icmp,1
19204,icmp,1
12287,icmp,1
64764,udp,1
49752,tcp,1
57882,udp,1
1375,icmp,1
48267,icmp,1
8088,udp,1
49374,icmp,1
63044,udp,1
52026,udp,1
47724,udp,1
38441,icmp,1
9045,udp,1
31292,tcp,1
2932,udp,1
10204,udp,2
51781,icmp,1
45579,udp,1
48424,udp,1
52596,udp,1
41689,udp,1
41336,icmp,1
56428,udp,1
17625,tcp,1
41929,tcp,1
13701,tcp,1
9730,udp,1
40893,tcp,1
26839,tcp,1
44994,tcp,1
57114,icmp,1
29567,tcp,1
54756,tcp,1
61821,tcp,1
1449,udp,1
2942,udp,1
61707,tcp,1
42244,icmp,1
33750,tcp,1
40371,udp,1
44704,udp,1
19608,tcp,1
41714,tcp,1
3464,icmp,1
52852,tcp,1
36890,icmp,1
22829,tcp,1
21584,icmp,1
55272,icmp,1
17596,tcp,1
15683,tcp,1
32588,tcp,1
58004,icmp,1
64862,udp,1
34030,icmp,1
62275,tcp,1
36416,udp,1
26412,udp,1
57576,icmp,1
37152,udp,1
61969,udp,1
32043,udp,1
65218,udp,1
20250,tcp,1
63910,icmp,1
44897,udp,1
23093,tcp,1
42723,tcp,1
57347,udp,1
13699,udp,1
61778,udp,1
21655,icmp,1
59752,udp,1
46616,udp,1
1697,udp,1
43318,tcp,1
36798,udp,1
55168,udp,1
40484,tcp,1
13524,udp,1
8609,udp,1
33235,tcp,1
25225,udp,1
4706,udp,1
37379,icmp,1
60720,udp,1
28403,tcp,1
14051,tcp,1
35581,tcp,1
40865,udp,1
53570,tcp,1
38308,udp,1
28893,udp,1
36420,udp,1
21368,tcp,1
36901,udp,1
4754,tcp,2
30933,icmp,2
30183,udp,1
26896,tcp,1
18603,tcp,1
1519,tcp,1
43374,tcp,1
15948,udp,1
21738,tcp,1
52142,tcp,1
19678,udp,1
6662,tcp,1
16625,tcp,1
5032,tcp,1
38391,udp,1
7641,icmp,1
58051,tcp,1
18985,udp,1
8996,icmp,1
50031,udp,1
19850,udp,1
62919,icmp,1
44143,tcp,1
14442,icmp,1
50821,udp,1
23500,udp,1
9276,udp,1
4860,icmp,1
31784,icmp,1
58047,udp,1
61876,icmp,1
31210,icmp,1
2383,icmp,1
12507,tcp,1
5123,udp,1
7413,tcp,1
29508,udp,1
10584,tcp,1
41093,tcp,1
62627,tcp,1
13239,icmp,1
55896,icmp,1
48370,udp,1
12550,tcp,1
15136,icmp,1
50513,icmp,1
47352,icmp,1
45330,icmp,1
12597,tcp,1
61745,udp,1
40431,icmp,1
53359,tcp,1
33816,udp,1
60927,udp,1
50342,tcp,1
43872,tcp,1
57472,icmp,1
18018,udp,1
22210,tcp,1
57831,udp,1
22729,tcp,1
26419,tcp,1
37015,tcp,1
46596,tcp,1
30570,tcp,1
40817,tcp,1
47642,udp,1
31231,tcp,1
47421,icmp,1
55515,icmp,1
21172,icmp,1
16061,icmp,1
43015,icmp,1
49751,udp,1
20398,tcp,1
53709,tcp,1
40766,icmp,1
9053,udp,1
49032,udp,1
9317,icmp,1
12793,icmp,1
51718,udp,1
14204,tcp,1
11016,tcp,1
55013,udp,1
29172,udp,1
6059,icmp,1
24519,tcp,1
1813,tcp,1
42245,tcp,1
9520,udp,1
32333,icmp,1
62804,tcp,1
9762,udp,1
29827,tcp,1
17039,icmp,1
22711,udp,1
47455,icmp,1
30817,tcp,1
31118,udp,1
43598,udp,1
16112,udp,1
18756,tcp,1
35303,tcp,1
1997,icmp,1
35322,tcp,1
13044,icmp,1
40810,udp,1
51177,icmp,1
39489,tcp,1
41663,tcp,1
29219,udp,1
7047,icmp,1
45603,icmp,1
54126,udp,1
18891,udp,1
6161,icmp,1
1847,udp,1
3249,icmp,1
58764,tcp,1
45686,icmp,1
62626,udp,1
47828,tcp,1
56168,udp,1
14759,icmp,1
4347,udp,1
17110,icmp,1
46210,tcp,1
9779,udp,1
8902,udp,1
22247,tcp,1
51928,icmp,1
13003,tcp,1
1365,icmp,1
5508,udp,1
34679,udp,1
31535,udp,1
62607,udp,1
28696,icmp,1
33280,tcp,1
58204,icmp,1
18511,icmp,2
59273,icmp,1
57140,tcp,1
31128,tcp,1
15867,udp,1
7252,tcp,1
19407,udp,1
41053,udp,1
37743,tcp,1
52382,udp,1
48348,tcp,1
45799,udp,1
58298,tcp,1
40384,udp,1
50280,udp,1
11643,udp,1
47179,tcp,1
6263,tcp,1
49012,udp,1
32482,udp,1
4564,tcp,1
8933,udp,1
30534,tcp,1
48632,icmp,1
17559,udp,1
54090,tcp,1
60237,tcp,1
45163,udp,1
22123,icmp,1
35897,tcp,1
56460,udp,1
20426,icmp,1
37710,udp,2
5755,icmp,1
34469,tcp,1
26288,udp,1
65062,udp,1
1742,icmp,1
14265,udp,1
43520,icmp,1
20726,tcp,1
24808,tcp,1
30910,udp,1
37425,tcp,2
40470,tcp,1
46928,tcp,1
45050,udp,1
50565,tcp,2
42023,udp,1
51160,udp,1
60333,icmp,1
45198,icmp,1
13037,udp,1
9706,tcp,1
46907,icmp,1
9585,tcp,1
30520,udp,1
35139,udp,1
14697,tcp,1
6878,udp,1
3989,icmp,1
25104,udp,1
14088,udp,1
18694,udp,1
39712,udp,1
6559,icmp,1
9618,udp,1
56089,udp,1
1586,udp,1
27291,icmp,1
55660,udp,1
3517,tcp,1
11644,udp,1
14991,udp,1
10149,icmp,1
11344,tcp,1
21421,udp,1
41718,icmp,1
16101,icmp,1
7468,udp,1
19549,udp,1
63918,tcp,1
49410,tcp,1
18610,tcp,1
52697,tcp,1
12267,tcp,1
56609,udp,1
56352,icmp,1
7187,icmp,1
4108,tcp,1
31265,icmp,1
11558,tcp,1
8648,tcp,1
45625,tcp,1
64518,tcp,1
28311,udp,2
38121,udp,1
38266,tcp,1
12418,tcp,1
42064,icmp,1
12695,udp,1
55185,udp,1
53683,icmp,1
30625,tcp,1
17640,udp,1
37364,tcp,1
6081,tcp,1
18860,tcp,1
26465,icmp,1
20103,udp,1
50426,tcp,1
22340,udp,1
9192,udp,1
13814,udp,1
58525,tcp,1
64780,tcp,1
20372,icmp,1
36032,icmp,1
35366,tcp,1
37572,icmp,1
38843,tcp,2
1902,tcp,1
55840,icmp,1
47251,icmp,1
60015,udp,1
11526,icmp,1
56431,udp,1
11869,icmp,1
12326,tcp,1
60377,udp,1
35104,udp,1
44412,tcp,1
61702,tcp,1
38958,icmp,1
21674,udp,1
12184,icmp,1
3691,tcp,1
61193,tcp,1
54028,icmp,1
63113,tcp,1
4390,udp,2
42469,tcp,1
48742,icmp,1
14726,tcp,1
14451,udp,1
17884,tcp,1
46501,tcp,1
2230,udp,1
34958,icmp,1
48465,udp,1
53158,tcp,2
15106,tcp,1
42452,icmp,1
60919,icmp,1
7098,tcp,1
7149,udp,1
21751,udp,1
13247,tcp,1
34253,icmp,1
65004,icmp,1
27862,udp,1
21685,icmp,1
46183,tcp,1
50598,udp,1
24184,udp,1
12569,udp,1
23151,tcp,1
29423,udp,1
52928,tcp,1
52239,icmp,1
42846,udp,1
4182,udp,1
13272,udp,1
49516,icmp,1
44211,icmp,1
36778,udp,1
21834,udp,1
28642,icmp,1
2514,tcp,1
58442,tcp,1
61723,tcp,1
25251,tcp,1
3102,tcp,1
2676,tcp,1
59445,udp,1
41719,udp,1
31424,tcp,1
30374,tcp,1
34659,udp,1
43395,icmp,1
48014,icmp,1
52080,tcp,1
42793,tcp,1
21416,udp,1
38378,tcp,1
14295,icmp,1
30169,tcp,1
4495,tcp,1
58512,udp,1
52380,udp,1
55585,tcp,1
25803,icmp,1
17300,icmp,1
47768,icmp,1
40536,icmp,1
40304,tcp,1
58054,icmp,1
29037,udp,1
48617,udp,1
33672,udp,1
40113,udp,1
56291,udp,1
16930,udp,1
14773,udp,1
34536,tcp,1
36779,udp,1
22374,icmp,1
14875,icmp,1
41828,tcp,1
60752,udp,1
63758,tcp,1
23868,icmp,1
60788,icmp,1
38446,udp,1
47914,icmp,1
25804,icmp,1
57348,icmp,1
28700,udp,1
10561,udp,1
18149,tcp,1
63213,udp,1
21984,tcp,1
21283,tcp,1
35426,icmp,1
64624,udp,2
12726,tcp,1
27179,tcp,1
23130,udp,1
56110,tcp,1
54795,icmp,1
22651,udp,1
35867,udp,1
1891,udp,1
51633,udp,2
16581,tcp,1
20498,udp,1
16181,udp,1
26756,icmp,1
36957,tcp,1
47010,icmp,1
44682,udp,1
48047,tcp,1
19060,udp,1
52293,udp,1
59755,tcp,1
30563,udp,1
28919,icmp,1
39368,udp,1
14156,udp,2
57011,icmp,1
5337,tcp,1
21383,tcp,1
22314,icmp,1
48332,tcp,1
58395,tcp,1
22522,icmp,1
37617,icmp,1
20867,tcp,1
47277,tcp,1
62048,tcp,1
29893,icmp,1
39930,icmp,1
48018,tcp,1
63478,udp,1
30849,icmp,1
38885,tcp,1
8727,icmp,1
53584,udp,1
35549,tcp,1
55378,tcp,1
56862,icmp,1
13780,udp,1
30896,tcp,1
12267,udp,1
31556,udp,1
10736,udp,1
39798,icmp,1
7396,tcp,1
31722,icmp,1
62742,tcp,1
60537,udp,1
61945,udp,1
18039,tcp,1
25437,icmp,1
15944,tcp,1
21784,tcp,1
21605,icmp,1
5315,tcp,1
64376,tcp,1
13365,tcp,1
29721,icmp,1
57501,icmp,1
6143,tcp,1
55332,icmp,1
25777,udp,1
47245,tcp,1
47399,tcp,1
4890,icmp,1
57246,icmp,1
7826,tcp,1
56952,tcp,1
21754,icmp,2
23413,tcp,1
39590,icmp,1
34278,tcp,1
49512,tcp,1
26696,udp,1
49094,udp,1
2790,tcp,1
5647,tcp,1
65273,icmp,1
2082,icmp,1
32157,tcp,1
11505,udp,1
29384,icmp,1
55455,udp,1
8617,icmp,1
13707,udp,1
8382,icmp,1
9289,udp,1
31911,udp,1
64258,udp,1
15002,icmp,1
25796,udp,1
28361,icmp,1
14804,udp,1
7376,udp,1
6716,udp,1
27316,icmp,1
47247,icmp,1
26836,tcp,1
12459,icmp,1
48637,udp,1
9029,icmp,1
5516,icmp,1
14325,icmp,1
32476,icmp,1
39509,icmp,1
51134,udp,1
29935,tcp,1
36378,tcp,1
38811,udp,1
33410,tcp,1
22232,icmp,1
57049,icmp,1
45894,tcp,1
29356,udp,1
18501,tcp,1
42142,tcp,1
4246,icmp,1
2090,tcp,1
4369,tcp,1
25493,udp,1
57848,tcp,1
9807,tcp,1
53503,icmp,1
9619,udp,1
64663,icmp,1
33615,icmp,1
1274,udp,1
24030,tcp,1
1965,udp,1
52970,udp,1
62615,udp,1
57794,tcp,1
